Source,Type,Target,Weight
Aemon,Undirected,Grenn,5
Aemon,Undirected,Samwell,31
Aerys,Undirected,Jaime,18
Aerys,Undirected,Robert,6
Aerys,Undirected,Tyrion,5
Aerys,Undirected,Tywin,8
Alliser,Undirected,Mance,5
Amory,Undirected,Oberyn,5
Arya,Undirected,Anguy,11
Arya,Undirected,Beric,23
Arya,Undirected,Bran,9
Arya,Undirected,Brynden,6
Arya,Undirected,Cersei,5
Arya,Undirected,Gendry,43
Arya,Undirected,Gregor,7
Arya,Undirected,Jaime,11
Arya,Undirected,Joffrey,6
Arya,Undirected,Jon,7
Arya,Undirected,Rickon,8
Arya,Undirected,Robert,4
Arya,Undirected,Roose,5
Arya,Undirected,Sandor,46
Arya,Undirected,Thoros,18
Arya,Undirected,Tyrion,5
Balon,Undirected,Loras,4
Belwas,Undirected,Barristan,18
Belwas,Undirected,Illyrio,10
Beric,Undirected,Anguy,4
Beric,Undirected,Gendry,4
Beric,Undirected,Thoros,21
Bran,Undirected,Hodor,96
Bran,Undirected,Jojen,46
Bran,Undirected,Jon,12
Bran,Undirected,Luwin,4
Bran,Undirected,Meera,54
Bran,Undirected,Nan,14
Bran,Undirected,Rickon,35
Bran,Undirected,Samwell,11
Bran,Undirected,Theon,11
Brienne,Undirected,Loras,7
Bronn,Undirected,Gregor,5
Bronn,Undirected,Podrick,19
Brynden,Undirected,Lothar,4
Brynden,Undirected,Walder,5
Catelyn,Undirected,Bran,4
Catelyn,Undirected,Brienne,7
Catelyn,Undirected,Brynden,8
Catelyn,Undirected,Cersei,4
Catelyn,Undirected,Edmure,16
Catelyn,Undirected,Hoster,9
Catelyn,Undirected,Jaime,19
Catelyn,Undirected,Jeyne,10
Catelyn,Undirected,Lysa,8
Catelyn,Undirected,Petyr,5
Catelyn,Undirected,Robb,43
Catelyn,Undirected,Roose,4
Catelyn,Undirected,Roslin,6
Catelyn,Undirected,Sansa,8
Catelyn,Undirected,Stannis,4
Catelyn,Undirected,Tyrion,5
Catelyn,Undirected,Walder,19
Cersei,Undirected,Brienne,5
Cersei,Undirected,Bronn,4
Cersei,Undirected,Elia,4
Cersei,Undirected,Gregor,6
Cersei,Undirected,Ilyn,7
Cersei,Undirected,Jaime,36
Cersei,Undirected,Joffrey,23
Cersei,Undirected,Meryn,10
Cersei,Undirected,Pycelle,4
Cersei,Undirected,Robert,16
Cersei,Undirected,Sandor,6
Cersei,Undirected,Shae,4
Cersei,Undirected,Tyrion,46
Cersei,Undirected,Varys,4
Craster,Undirected,Karl,6
Daario,Undirected,Drogo,4
Daario,Undirected,Irri,5
Daenerys,Undirected,Aegon,8
Daenerys,Undirected,Barristan,20
Daenerys,Undirected,Belwas,26
Daenerys,Undirected,Daario,14
Daenerys,Undirected,Drogo,18
Daenerys,Undirected,Irri,17
Daenerys,Undirected,Jorah,47
Daenerys,Undirected,Kraznys,10
Daenerys,Undirected,Missandei,26
Daenerys,Undirected,Rakharo,7
Daenerys,Undirected,Rhaegar,12
Daenerys,Undirected,Robert,5
Daenerys,Undirected,Viserys,8
