Source,Type,Target,Weight
Nikolka,Undirected,Aleksej,3
Nikolka,Undirected,Elena,4
Nikolka,Undirected,Myshlaevskij,5
Nikolka,Undirected,Lariosik,4
Nikolka,Undirected,Talberg,2
Nikolka,Undirected,Shervinskij,3
Nikolka,Undirected,Studzinskij,4
Nikolka,Undirected,Junkera,1
Nikolka,Undirected,PervyjOfitser,1
Nikolka,Undirected,VtorojOfitser,1
Nikolka,Undirected,PervyjJunker,1
Nikolka,Undirected,Maksim,1
Nikolka,Undirected,VtorojJunker,1
Nikolka,Undirected,TretijOfitser,1
Nikolka,Undirected,TretijJunker,1
Nikolka,Undirected,Uragan,1
Nikolka,Undirected,Galanba,1
Nikolka,Undirected,Kirpatyj,1
Aleksej,Undirected,Elena,2
Aleksej,Undirected,Myshlaevskij,3
Aleksej,Undirected,Lariosik,2
Aleksej,Undirected,Talberg,1
Aleksej,Undirected,Shervinskij,1
Aleksej,Undirected,Studzinskij,2
Aleksej,Undirected,Junkera,1
Aleksej,Undirected,PervyjOfitser,1
Aleksej,Undirected,VtorojOfitser,1
Aleksej,Undirected,PervyjJunker,1
Aleksej,Undirected,Maksim,1
Aleksej,Undirected,VtorojJunker,1
Aleksej,Undirected,TretijOfitser,1
Aleksej,Undirected,TretijJunker,1
Aleksej,Undirected,Uragan,1
Aleksej,Undirected,Galanba,1
Aleksej,Undirected,Kirpatyj,1
Elena,Undirected,Myshlaevskij,4
Elena,Undirected,Lariosik,4
Elena,Undirected,Talberg,2
Elena,Undirected,Shervinskij,3
Elena,Undirected,Studzinskij,3
Myshlaevskij,Undirected,Lariosik,4
Myshlaevskij,Undirected,Talberg,2
Myshlaevskij,Undirected,Shervinskij,3
Myshlaevskij,Undirected,Studzinskij,4
Myshlaevskij,Undirected,Junkera,1
Myshlaevskij,Undirected,PervyjOfitser,1
Myshlaevskij,Undirected,VtorojOfitser,1
Myshlaevskij,Undirected,PervyjJunker,1
Myshlaevskij,Undirected,Maksim,1
Myshlaevskij,Undirected,VtorojJunker,1
Myshlaevskij,Undirected,TretijOfitser,1
Myshlaevskij,Undirected,TretijJunker,1
Myshlaevskij,Undirected,Uragan,1
Myshlaevskij,Undirected,Galanba,1
Myshlaevskij,Undirected,Kirpatyj,1
Lariosik,Undirected,Talberg,2
Lariosik,Undirected,Shervinskij,3
Lariosik,Undirected,Studzinskij,3
Talberg,Undirected,Shervinskij,1
Talberg,Undirected,Studzinskij,1
Shervinskij,Undirected,Studzinskij,3
Shervinskij,Undirected,Lakej,1
Shervinskij,Undirected,Getman,1
Shervinskij,Undirected,Shratt,1
Shervinskij,Undirected,Dust,1
Shervinskij,Undirected,Vrach,1
Studzinskij,Undirected,Junkera,1
Studzinskij,Undirected,PervyjOfitser,1
Studzinskij,Undirected,VtorojOfitser,1
Studzinskij,Undirected,PervyjJunker,1
Studzinskij,Undirected,Maksim,1
