Source,Target,Type,Id,Label,timeset,Weight,expected collocate frequency,no.,observed collocate frequency,total no. in whole corpus,in no. of texts
man,all,Directed,2693,,,1.177,88.482,49,200,5909664,118
man,other,Directed,2692,,,1.256,41.454,48,99,2768664,71
man,shall,Directed,2691,,,1.273,39.311,47,95,2625548,59
man,many,Directed,2690,,,1.299,20.318,46,50,1357014,43
man,than,Directed,2689,,,1.354,14.086,44,36,940804,31
man,unto,Directed,2688,,,1.433,28.153,43,76,1880307,49
man,should,Directed,2687,,,1.609,28.185,42,86,1882479,63
man,good,Directed,2686,,,1.708,31.518,41,103,2105073,63
man,ought,Directed,2685,,,1.716,6.088,40,20,406596,17
man,evil,Directed,2684,,,1.846,5.842,38,21,390154,18
man,war,Directed,2683,,,2.034,4.885,36,20,326242,11
man,rich,Directed,2682,,,2.349,2.356,35,12,157355,10
man,young,Directed,2681,,,2.654,3.019,34,19,201619,15
man,learned,Directed,2680,,,2.66,1.582,33,10,105664,10
man,slay,Directed,2679,,,2.772,1.757,31,12,117369,11
man,se,Directed,2678,,,2.845,2.783,30,20,185872,17
man,english,Directed,2677,,,2.911,2.659,29,20,177562,12
man,french,Directed,2676,,,2.942,1.951,28,15,130336,4
man,mortal,Directed,2675,,,2.985,1.011,27,8,67490,7
man,c,Directed,2674,,,3.015,4.455,26,36,297563,29
man,woman,Directed,2673,,,3.025,5.039,25,41,336538,36
man,s,Directed,2672,,,3.101,20.16,24,173,1346455,107
man,hurt,Directed,2671,,,3.325,1.497,23,15,99970,15
man,wise,Directed,2670,,,3.345,4.035,22,41,269485,36
man,wh,Directed,2669,,,3.45,0.732,21,8,48907,8
man,noble,Directed,2668,,,3.636,2.495,20,31,166617,21
man,every,Directed,2667,,,3.645,15.826,19,198,1057014,112
man,honesty,Directed,2666,,,3.753,0.445,18,6,29720,5
man,ben,Directed,2665,,,3.863,0.893,17,13,59668,10
man,dread,Directed,2664,,,4.215,0.431,16,8,28786,6
man,craft,Directed,2663,,,4.268,0.26,15,5,17341,5
man,toke,Directed,2662,,,4.306,0.405,14,8,27024,6
man,nether,Directed,2661,,,4.5,0.221,13,5,14764,4
man,mete,Directed,2660,,,4.936,0.229,11,7,15282,7
man,wist,Directed,2659,,,5.676,0.078,10,4,5231,3
man,cryste,Directed,2658,,,5.802,0.054,9,3,3595,3
man,discrete,Directed,2657,,,6.44,0.035,8,3,2311,3
man,worcke,Directed,2656,,,7.382,0.018,7,3,1204,3
man,worldely,Directed,2655,,,7.399,0.018,6,3,1190,2
man,christen,Directed,2654,,,7.865,0.194,5,45,12940,31
man,yonge,Directed,2653,,,8.011,0.117,4,30,7796,24
man,crysten,Directed,2652,,,8.715,0.046,3,19,3039,13
man,tradycyon,Directed,2651,,,9.961,0.003,2,3,204,3
man,contemplatyue,Directed,2650,,,11.05,0.002,1,4,130,2
most,vile,Directed,2649,,,5.566,0.634,50,30,42320,25
most,ly,Directed,2648,,,5.623,0.102,49,5,6782,5
most,shameful,Directed,2647,,,5.64,0.221,48,11,14747,11
most,specially,Directed,2646,,,5.694,0.58,47,30,38733,25
most,cruelly,Directed,2645,,,5.721,0.19,46,10,12676,9
most,bo,Directed,2644,,,5.78,0.073,45,4,4865,4
most,christen,Directed,2643,,,5.828,0.194,44,11,12940,10
most,syth,Directed,2642,,,5.855,0.069,43,4,4621,4
most,sacram,Directed,2641,,,5.982,0.111,42,7,7404,5
most,reverent,Directed,2640,,,6.141,0.085,41,6,5683,2
most,piteous,Directed,2639,,,6.284,0.039,40,3,2574,3
most,detestable,Directed,2638,,,6.448,0.161,39,14,10722,13
most,excell,Directed,2637,,,6.48,0.067,38,6,4494,6
most,ungracious,Directed,2636,,,6.764,0.037,37,4,2462,3
most,sauyour,Directed,2635,,,6.889,0.025,36,3,1694,2
most,nygh,Directed,2634,,,6.98,0.024,35,3,1590,3
most,perte,Directed,2633,,,7.021,0.023,34,3,1546,3
most,forgeuen,Directed,2632,,,7.051,0.023,33,3,1514,3
most,com,Directed,2631,,,7.056,0.038,32,5,2514,5
most,synner,Directed,2630,,,7.124,0.022,31,3,1439,2
most,erne,Directed,2629,,,7.397,0.018,30,3,1192,3
most,fresshe,Directed,2628,,,7.461,0.017,29,3,1140,3
most,heresye,Directed,2627,,,7.503,0.022,28,4,1477,4
most,reygne,Directed,2626,,,7.554,0.027,27,5,1782,5
most,plenteously,Directed,2625,,,7.792,0.018,26,4,1209,4
most,vyrgyn,Directed,2624,,,8.226,0.013,25,4,896,3
most,virgyn,Directed,2623,,,8.256,0.016,24,5,1097,5
most,wryter,Directed,2622,,,8.325,0.031,23,10,2092,1
most,highest,Directed,2621,,,8.529,0.038,22,14,2545,9
most,perfyte,Directed,2620,,,8.529,0.025,21,9,1636,8
most,fylthye,Directed,2619,,,8.761,0.007,20,3,465,2
most,vertuouse,Directed,2618,,,8.795,0.011,19,5,757,5
most,nynge,Directed,2617,,,8.867,0.007,18,3,432,2
most,glotony,Directed,2616,,,8.965,0.006,17,3,404,3
most,blyssed,Directed,2615,,,9.151,0.011,16,6,711,6
most,soueraygne,Directed,2614,,,9.16,0.014,15,8,942,6
most,sygnyfycacyon,Directed,2613,,,9.483,0.004,14,3,283,1
most,redoubted,Directed,2612,,,9.573,0.009,13,7,621,7
most,commenly,Directed,2611,,,9.705,0.004,12,3,243,2
most,notabl,Directed,2610,,,9.761,0.005,11,4,312,1
most,benygne,Directed,2609,,,9.789,0.005,10,4,306,4
most,gloryouse,Directed,2608,,,10.044,0.004,9,4,257,4
most,menly,Directed,2607,,,10.355,0.002,8,3,156,2
most,myghte,Directed,2606,,,10.42,0.003,7,4,199,2
most,comynly,Directed,2605,,,10.73,0.004,6,6,242,4
most,myghty,Directed,2604,,,10.751,0.002,5,4,159,3
most,teous,Directed,2603,,,10.908,0.002,4,4,143,4
most,gracyouse,Directed,2602,,,11.157,0.002,3,4,121,4
most,victoryous,Directed,2601,,,11.483,0.001,2,3,73,2
most,sacrate,Directed,2600,,,12.194,0.001,1,4,61,1
master,iohan,Directed,2599,,,7.281,0.09,50,14,6027,9
master,brandon,Directed,2598,,,7.318,0.019,49,3,1259,2
master,bretherne,Directed,2597,,,7.353,0.025,48,4,1638,4
master,hayle,Directed,2596,,,7.637,0.025,47,5,1683,4
master,dunce,Directed,2595,,,7.644,0.015,46,3,1005,1
master,depiction,Directed,2594,,,7.666,0.04,45,8,2639,2
master,hume,Directed,2593,,,7.701,0.019,44,4,1288,3
master,princis,Directed,2592,,,7.879,0.013,43,3,854,1
master,willi,Directed,2591,,,7.972,0.012,42,3,801,3
master,langton,Directed,2590,,,8.101,0.011,41,3,733,2
master,kerr,Directed,2589,,,8.108,0.015,40,4,972,1
master,iaques,Directed,2588,,,8.129,0.014,39,4,958,1
master,neroe,Directed,2587,,,8.235,0.01,38,3,668,3
master,thorpe,Directed,2586,,,8.239,0.013,37,4,888,2
master,candidus,Directed,2585,,,8.281,0.01,36,3,647,1
master,tyndale,Directed,2584,,,8.382,0.039,35,13,2615,4
master,mores,Directed,2583,,,8.623,0.02,34,8,1363,3
master,baptym,Directed,2582,,,9.345,0.005,33,3,311,2
master,scole,Directed,2581,,,9.347,0.014,32,9,932,7
master,diuinite,Directed,2580,,,9.493,0.004,31,3,281,2
master,discyple,Directed,2579,,,9.69,0.01,30,8,655,1
master,marten,Directed,2578,,,9.69,0.007,29,6,491,2
master,dyscyple,Directed,2577,,,9.88,0.015,28,14,1006,5
master,roberte,Directed,2576,,,10.068,0.005,27,5,316,3
master,paley,Directed,2575,,,10.092,0.005,26,5,311,1
master,testyfyeth,Directed,2574,,,10.186,0.003,25,3,175,1
master,masquers,Directed,2573,,,10.223,0.007,24,8,455,1
master,martyne,Directed,2572,,,10.467,0.004,23,5,241,3
master,iuuenalis,Directed,2571,,,10.514,0.002,22,3,140,3
master,lydgate,Directed,2570,,,10.525,0.002,21,3,139,3
master,stapylton,Directed,2569,,,10.805,0.002,20,3,115,1
master,kar,Directed,2568,,,11.073,0.001,19,3,96,1
master,dinus,Directed,2567,,,11.968,0.001,18,3,53,1
master,tracie,Directed,2566,,,11.983,0.001,17,4,70,1
master,thentre,Directed,2565,,,12.027,0.001,16,5,85,4
master,lapa,Directed,2564,,,12.027,0.001,15,3,51,1
master,raymonde,Directed,2563,,,12.22,0.001,14,3,45,2
master,maistress,Directed,2562,,,12.658,0.001,13,3,34,2
master,baldok,Directed,2561,,,13.002,0.001,12,7,64,4
master,reymond,Directed,2560,,,13.517,0.004,11,43,288,1
master,denyce,Directed,2559,,,13.643,0.001,10,9,56,1
master,reymo,Directed,2558,,,13.912,0,9,3,16,1
master,falsidicus,Directed,2557,,,14.262,0,8,5,22,1
master,masker,Directed,2556,,,14.562,0.005,7,96,361,1
master,maskar,Directed,2555,,,14.796,0.001,6,23,77,1
master,masher,Directed,2554,,,14.857,0,5,4,13,1
master,chrispyne,Directed,2553,,,15.027,0,4,3,9,1
master,gagwyne,Directed,2552,,,15.027,0.001,3,13,39,1
master,reymound,Directed,2551,,,15.738,0.001,2,36,80,1
master,pseudologus,Directed,2550,,,15.764,0,1,5,11,1
wisdom,credence,Directed,2549,,,5.931,0.049,50,3,3287,3
wisdom,eloquence,Directed,2548,,,6.005,0.249,49,16,16660,14
wisdom,ny,Directed,2547,,,6.03,0.046,48,3,3069,3
wisdom,worldly,Directed,2546,,,6.105,0.945,47,65,63119,28
wisdom,preeminence,Directed,2545,,,6.125,0.043,46,3,2873,2
wisdom,utterance,Directed,2544,,,6.311,0.063,45,5,4210,5
wisdom,secrete,Directed,2543,,,6.45,0.046,44,4,3059,3
wisdom,vnderst,Directed,2542,,,6.508,0.088,43,8,5880,5
wisdom,tech,Directed,2541,,,6.622,0.031,42,3,2037,3
wisdom,capi,Directed,2540,,,6.639,0.03,41,3,2013,1
wisdom,hardiness,Directed,2539,,,6.643,0.03,40,3,2008,3
wisdom,goost,Directed,2538,,,6.689,0.029,39,3,1945,3
wisdom,prowess,Directed,2537,,,6.768,0.083,38,9,5526,6
wisdom,ari,Directed,2536,,,6.802,0.027,37,3,1799,1
wisdom,lyghte,Directed,2535,,,6.881,0.034,36,4,2270,4
wisdom,rychesse,Directed,2534,,,6.885,0.025,35,3,1698,3
wisdom,perfyte,Directed,2533,,,6.939,0.025,34,3,1636,3
wisdom,spyryte,Directed,2532,,,7.257,0.026,33,4,1750,2
wisdom,plenteously,Directed,2531,,,7.376,0.018,32,3,1209,2
wisdom,discrete,Directed,2530,,,7.442,0.035,31,6,2311,6
wisdom,revele,Directed,2529,,,7.489,0.017,30,3,1118,1
wisdom,humayne,Directed,2528,,,7.645,0.015,29,3,1004,3
wisdom,iustifye,Directed,2527,,,7.705,0.014,28,3,963,3
wisdom,spiryte,Directed,2526,,,7.837,0.013,27,3,879,3
wisdom,mekeness,Directed,2525,,,8.093,0.011,26,3,737,3
wisdom,valiantness,Directed,2524,,,8.106,0.011,25,3,730,1
wisdom,sprete,Directed,2523,,,8.129,0.036,24,10,2396,7
wisdom,gyfte,Directed,2522,,,8.289,0.039,23,12,2574,5
