Source,Target,Type,Id,Label,timeset,Weight,H no,Doc type,Transaction type,Doc No
1,6,Directed,0,,,2,1/6/150,Charter,Gift,662
1,7,Directed,1,,,15,1/6/461,Charter,Confirmation,601
1,9,Directed,2,,,4,1/6/426,Charter,Succession,545
1,16,Directed,3,,,1,1/6/468,Charter,Concession,613
1,24,Directed,4,,,2,1/6/180,Charter,Gift,692
1,29,Directed,5,,,14,1/6/121,Charter,Grant of property (concedo),609
1,31,Directed,6,,,2,1/6/69,Charter,Gift,482
1,34,Directed,7,,,2,1/6/316,Charter,Gift,386
1,35,Directed,8,,,3,1/6/309,Charter,Gift,379
1,40,Directed,9,,,2,1/6/427,Charter,Confirmation,548
1,41,Directed,10,,,53,1/6/466,Charter,Grant of property (concedo),608
1,49,Directed,11,,,2,1/6/428,Charter,Confirmation,549
1,66,Directed,12,,,2,1/6/402,Charter,Confirmation,493
1,75,Directed,13,,,30,1/6/459,Charter,Confirmation,594
1,77,Directed,14,,,5,1/6/427,Charter,Confirmation,548
1,82,Directed,15,,,24,1/6/459,Charter,Confirmation,594
1,89,Directed,16,,,1,1/6/80,Charter,Confirmation,506
1,127,Directed,17,,,9,1/6/220,Charter,Confirmation,733
1,128,Directed,18,,,6,1/6/105,Charter,Confirmation,574
1,131,Directed,19,,,26,1/6/112,Charter,Confirmation,591
1,140,Directed,20,,,1,1/5/10,Charter,Gift,27
1,142,Directed,21,,,2,1/6/181,Charter,Gift,693
1,155,Directed,22,,,2,1/6/160,Charter,Grant of property (concedo),672
1,170,Directed,23,,,1,1/6/64,Charter,Succession,473
1,185,Directed,24,,,1,1/6/44,Charter,Renewal,372
1,187,Directed,25,,,1,1/6/413,Charter,Confirmation,516
1,189,Directed,26,,,3,1/6/427,Charter,Confirmation,548
1,226,Directed,27,,,1,1/6/120,Charter,Gift,606
1,256,Directed,28,,,1,1/6/96,Charter,Renewal,543
1,260,Directed,29,,,4,1/6/462,Charter,Confirmation,602
1,307,Directed,30,,,2,1/6/430,Charter/Brieve,Grant of property (concedo),553
1,354,Directed,31,,,8,1/6/93,Charter,Renewal,533
1,444,Directed,32,,,1,1/6/449,Charter,Confirmation,576
1,500,Directed,33,,,1,1/6/225,Charter,Succession,740
1,745,Directed,34,,,9,1/6/192,Charter,Gift,704
1,751,Directed,35,,,2,1/6/339,Charter,Confirmation,409
1,760,Directed,36,,,1,1/6/432,Charter,Succession,558
1,772,Directed,37,,,1,1/6/447,Charter,Succession,573
1,779,Directed,38,,,2,1/6/454,Charter,Obligation,585
1,781,Directed,39,,,8,1/6/333,Charter,Concession,403
1,782,Directed,40,,,2,1/6/463,Charter,Confirmation,604
1,789,Directed,41,,,1,1/6/486,Charter,Confirmation,637
1,817,Directed,42,,,1,1/6/339,Charter,Confirmation,409
1,839,Directed,43,,,1,1/6/305,Charter,Gift,350
1,841,Directed,44,,,1,1/6/119,Charter,Confirmation,603
