Id,Label,timeset,Gender,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,modularity_class
1,"William I, king of Scots (d.1214)",,M,1,170,171,1,495,496,68
58,"Alexander II, king of Scots (d.1249)",,M,1,156,157,1,397,398,71
360,"Alexander III, king of Scots (d.1286)",,M,1,67,68,1,91,92,67
74,"Malcolm IV, king of Scots (d.1165)",,M,0,50,50,0,126,126,73
130,"David I, king of Scots (d.1153)",,M,0,37,37,0,107,107,73
788,"Andrew Murray, bishop of Moray (d.1242)",,M,7,36,43,12,51,63,69
40,"William Malveisin, bishop of St Andrews (d.1238)",,M,6,28,34,9,59,68,68
2087,"Mael Domnaig, earl of Lennox (d. by 1265)",,M,3,26,29,3,52,55,66
432,"David of Bernham, bishop of St Andrews (d.1253)",,M,0,22,22,0,46,46,72
90,"Henry, earl of Northumberland and Huntingdon (d.1152)",,M,0,21,21,0,28,28,73
2046,"Roger de Quincy, earl of Winchester (d.1264)",,M,2,18,20,2,28,30,9
16,"William Comyn, earl of Buchan (d.1233)",,M,2,17,19,2,21,23,73
451,"Alan, lord of Galloway (d.1234)",,M,2,17,19,2,27,29,71
817,"Roger, bishop of St Andrews (d.1202)",,M,3,17,20,4,31,35,73
134,"Richard, bishop of St Andrews (d.1178)",,M,0,16,16,0,49,49,73
858,"Walter of St Albans, bishop of Glasgow (d.1232)",,M,13,16,29,21,24,45,66
82,Kelso Abbey,,I,186,15,201,366,17,383,72
2220,"Ralph of Lamley, bishop of Aberdeen (d.1247)",,M,2,15,17,4,17,21,71
3786,"Henry of Norham, prior of St Andrews (fl.x1228-1236)",,M,0,15,15,0,22,22,69
148,"Robert, bishop of St Andrews (d.1159)",,M,0,14,14,0,33,33,73
142,"David, earl of Huntingdon (d.1219)",,M,2,13,15,3,31,34,67
400,"Alan Stewart, son of Walter (d.1204)",,M,0,13,13,0,23,23,66
112,Richard de Moreville (d.1189 or 1190),,M,0,12,12,0,23,23,71
782,"Malcolm (I), earl of Fife (d.1229)",,M,5,12,17,6,15,21,73
2081,"John de Vaux, knight (fl.1213-55)",,M,0,12,12,0,15,15,69
745,"Jocelin, bishop of Glasgow (d.1199)",,M,3,11,14,11,25,36,68
751,"Bertram, prior of Durham (d.1212/13)",,M,5,11,16,7,12,19,73
1378,"Walter Stewart (II), son of Alan (d.1241)",,M,3,11,14,3,37,40,71
1382,David of Quixwood,,M,0,11,11,0,36,36,3
2248,"Malise (II), earl of Strathearn (d.1271)",,M,0,11,11,0,17,17,67
444,"Patrick (I), earl of Dunbar (d.1232)",,M,1,10,11,1,39,40,3
453,"Roland (Lachlan), lord of Galloway (d.1200)",,M,0,10,10,0,12,12,75
456,"Gamelin, bishop of St Andrews (d.1271)",,M,0,10,10,0,17,17,73
806,"Saer de Quincy, earl of Winchester (d.1219)",,M,0,10,10,0,20,20,68
1453,James Stewart (d.1309),,M,0,10,10,0,11,11,66
1981,"Alexander Comyn, earl of Buchan (d.1289)",,M,1,10,11,1,11,12,68
12934,"William de Lizars, son of David, lord of Gorton",,M,0,10,10,0,11,11,1
3,"Walter Stewart (I), son of Alan (d.1177)",,M,1,9,10,2,18,20,66
95,"Ada de Warenne (d.1178), countess of Northumberland",,F,0,9,9,0,13,13,73
307,Robert of London (d.1225),,M,3,9,12,4,12,16,68
