Source,Type,Target,Weight
Аммос Федорович,Undirected,Артемий Филиппович,1
Аммос Федорович,Undirected,Городничий,2
Аммос Федорович,Undirected,Лука Лукич,1
Аммос Федорович,Undirected,Почтмейстер,1
Аммос Федорович,Undirected,Христиан Иванович,1
Артемий Филиппович,Undirected,Городничий,1
Артемий Филиппович,Undirected,Лука Лукич,1
Артемий Филиппович,Undirected,Христиан Иванович,1
Городничий,Undirected,Лука Лукич,1
Городничий,Undirected,Почтмейстер,1
Городничий,Undirected,Христиан Иванович,1
Лука Лукич,Undirected,Христиан Иванович,1
