,Source,Target,Weight,Type
1,Krasnushkin_DonNaKostylyah,Kryukov_NaTihomDonu1898,3,undirected
2,Krasnushkin_DonNaKostylyah,Kryukov_RechkeLazor1911,1,undirected
3,Krasnushkin_DonNaKostylyah,Kryukov_Vglubine1913,2,undirected
4,Kryukov_NaTihomDonu1898,Krasnushkin_DonNaKostylyah,3,undirected
5,Kryukov_NaTihomDonu1898,Kryukov_RechkeLazor1911,3,undirected
6,Kryukov_NaTihomDonu1898,Kryukov_Tatarnik1919,1,undirected
7,Kryukov_NaTihomDonu1898,Kryukov_Vglubine1913,5,undirected
8,Kryukov_NaTihomDonu1898,Kryukov_VojskovojKrugIRossiya1918,1,undirected
9,Kryukov_NaTihomDonu1898,Sholokhov_Celina,1,undirected
10,Kryukov_NaTihomDonu1898,Sholokhov_Don1-2,2,undirected
11,Kryukov_NaTihomDonu1898,Sholokhov_Don3-4,2,undirected
12,Kryukov_RechkeLazor1911,Krasnushkin_DonNaKostylyah,1,undirected
13,Kryukov_RechkeLazor1911,Kryukov_NaTihomDonu1898,3,undirected
14,Kryukov_RechkeLazor1911,Kryukov_Tatarnik1919,2,undirected
15,Kryukov_RechkeLazor1911,Kryukov_Vglubine1913,3,undirected
16,Kryukov_RechkeLazor1911,Kryukov_Zyb1909,5,undirected
17,Kryukov_RechkeLazor1911,Sholokhov_Don1-2,1,undirected
18,Kryukov_RechkeLazor1911,Sholokhov_Sudba,1,undirected
19,Kryukov_Tatarnik1919,Kryukov_NaTihomDonu1898,1,undirected
20,Kryukov_Tatarnik1919,Kryukov_RechkeLazor1911,2,undirected
21,Kryukov_Tatarnik1919,Kryukov_Vglubine1913,3,undirected
22,Kryukov_Vglubine1913,Krasnushkin_DonNaKostylyah,2,undirected
23,Kryukov_Vglubine1913,Kryukov_NaTihomDonu1898,5,undirected
24,Kryukov_Vglubine1913,Kryukov_RechkeLazor1911,3,undirected
25,Kryukov_Vglubine1913,Kryukov_Tatarnik1919,3,undirected
26,Kryukov_Vglubine1913,Kryukov_VojskovojKrugIRossiya1918,3,undirected
27,Kryukov_Vglubine1913,Kryukov_Zyb1909,6,undirected
28,Kryukov_VojskovojKrugIRossiya1918,Kryukov_NaTihomDonu1898,1,undirected
29,Kryukov_VojskovojKrugIRossiya1918,Kryukov_Vglubine1913,3,undirected
30,Kryukov_VojskovojKrugIRossiya1918,Kryukov_Zyb1909,2,undirected
31,Kryukov_Zyb1909,Kryukov_RechkeLazor1911,5,undirected
32,Kryukov_Zyb1909,Kryukov_Vglubine1913,6,undirected
33,Kryukov_Zyb1909,Kryukov_VojskovojKrugIRossiya1918,2,undirected
34,Kryukov_Zyb1909,Sholokhov_Celina,2,undirected
35,Kryukov_Zyb1909,Sholokhov_Don3-4,1,undirected
36,Sholokhov_Celina,Kryukov_NaTihomDonu1898,1,undirected
37,Sholokhov_Celina,Kryukov_Zyb1909,2,undirected
38,Sholokhov_Celina,Sholokhov_Don3-4,5,undirected
39,Sholokhov_Celina,Sholokhov_Sudba,3,undirected
40,Sholokhov_Don1-2,Kryukov_NaTihomDonu1898,2,undirected
41,Sholokhov_Don1-2,Kryukov_RechkeLazor1911,1,undirected
42,Sholokhov_Don1-2,Sholokhov_Don3-4,6,undirected
43,Sholokhov_Don3-4,Kryukov_NaTihomDonu1898,2,undirected
44,Sholokhov_Don3-4,Kryukov_Zyb1909,1,undirected
45,Sholokhov_Don3-4,Sholokhov_Celina,5,undirected
46,Sholokhov_Don3-4,Sholokhov_Don1-2,6,undirected
47,Sholokhov_Don3-4,Sholokhov_Sudba,2,undirected
48,Sholokhov_Sudba,Kryukov_RechkeLazor1911,1,undirected
49,Sholokhov_Sudba,Sholokhov_Celina,3,undirected
50,Sholokhov_Sudba,Sholokhov_Don3-4,2,undirected
