,Source,Target,Weight,Type
1,Krasnushkin_DonNaKostylyah,Kryukov_NaTihomDonu1898,11,undirected
2,Krasnushkin_DonNaKostylyah,Kryukov_RechkeLazor1911,4,undirected
3,Krasnushkin_DonNaKostylyah,Kryukov_Tatarnik1919,2,undirected
4,Krasnushkin_DonNaKostylyah,Kryukov_Vglubine1913,14,undirected
5,Krasnushkin_DonNaKostylyah,Kryukov_VojskovojKrugIRossiya1918,7,undirected
6,Krasnushkin_DonNaKostylyah,Kryukov_Zyb1909,1,undirected
7,Kryukov_NaTihomDonu1898,Krasnushkin_DonNaKostylyah,11,undirected
8,Kryukov_NaTihomDonu1898,Kryukov_RechkeLazor1911,14,undirected
9,Kryukov_NaTihomDonu1898,Kryukov_Tatarnik1919,1,undirected
10,Kryukov_NaTihomDonu1898,Kryukov_Vglubine1913,22,undirected
11,Kryukov_NaTihomDonu1898,Kryukov_VojskovojKrugIRossiya1918,1,undirected
12,Kryukov_NaTihomDonu1898,Kryukov_Zyb1909,8,undirected
13,Kryukov_NaTihomDonu1898,Sholokhov_Celina,1,undirected
14,Kryukov_NaTihomDonu1898,Sholokhov_Don1-2,2,undirected
15,Kryukov_NaTihomDonu1898,Sholokhov_Don3-4,2,undirected
16,Kryukov_RechkeLazor1911,Krasnushkin_DonNaKostylyah,4,undirected
17,Kryukov_RechkeLazor1911,Kryukov_NaTihomDonu1898,14,undirected
18,Kryukov_RechkeLazor1911,Kryukov_Tatarnik1919,8,undirected
19,Kryukov_RechkeLazor1911,Kryukov_Vglubine1913,22,undirected
20,Kryukov_RechkeLazor1911,Kryukov_Zyb1909,21,undirected
21,Kryukov_RechkeLazor1911,Sholokhov_Don1-2,4,undirected
22,Kryukov_RechkeLazor1911,Sholokhov_Sudba,1,undirected
23,Kryukov_Tatarnik1919,Krasnushkin_DonNaKostylyah,2,undirected
24,Kryukov_Tatarnik1919,Kryukov_NaTihomDonu1898,1,undirected
25,Kryukov_Tatarnik1919,Kryukov_RechkeLazor1911,8,undirected
26,Kryukov_Tatarnik1919,Kryukov_Vglubine1913,15,undirected
27,Kryukov_Tatarnik1919,Kryukov_VojskovojKrugIRossiya1918,8,undirected
28,Kryukov_Tatarnik1919,Kryukov_Zyb1909,2,undirected
29,Kryukov_Vglubine1913,Krasnushkin_DonNaKostylyah,14,undirected
30,Kryukov_Vglubine1913,Kryukov_NaTihomDonu1898,22,undirected
31,Kryukov_Vglubine1913,Kryukov_RechkeLazor1911,22,undirected
32,Kryukov_Vglubine1913,Kryukov_Tatarnik1919,15,undirected
33,Kryukov_Vglubine1913,Kryukov_VojskovojKrugIRossiya1918,14,undirected
34,Kryukov_Vglubine1913,Kryukov_Zyb1909,30,undirected
35,Kryukov_Vglubine1913,Sholokhov_Celina,7,undirected
36,Kryukov_Vglubine1913,Sholokhov_Don1-2,4,undirected
37,Kryukov_Vglubine1913,Sholokhov_Sudba,4,undirected
38,Kryukov_VojskovojKrugIRossiya1918,Krasnushkin_DonNaKostylyah,7,undirected
39,Kryukov_VojskovojKrugIRossiya1918,Kryukov_NaTihomDonu1898,1,undirected
40,Kryukov_VojskovojKrugIRossiya1918,Kryukov_Tatarnik1919,8,undirected
41,Kryukov_VojskovojKrugIRossiya1918,Kryukov_Vglubine1913,14,undirected
42,Kryukov_VojskovojKrugIRossiya1918,Kryukov_Zyb1909,2,undirected
43,Kryukov_Zyb1909,Krasnushkin_DonNaKostylyah,1,undirected
44,Kryukov_Zyb1909,Kryukov_NaTihomDonu1898,8,undirected
45,Kryukov_Zyb1909,Kryukov_RechkeLazor1911,21,undirected
46,Kryukov_Zyb1909,Kryukov_Tatarnik1919,2,undirected
47,Kryukov_Zyb1909,Kryukov_Vglubine1913,30,undirected
48,Kryukov_Zyb1909,Kryukov_VojskovojKrugIRossiya1918,2,undirected
49,Kryukov_Zyb1909,Sholokhov_Celina,7,undirected
50,Kryukov_Zyb1909,Sholokhov_Don1-2,1,undirected
51,Kryukov_Zyb1909,Sholokhov_Don3-4,6,undirected
52,Kryukov_Zyb1909,Sholokhov_Sudba,8,undirected
53,Sholokhov_Celina,Kryukov_NaTihomDonu1898,1,undirected
54,Sholokhov_Celina,Kryukov_Vglubine1913,7,undirected
55,Sholokhov_Celina,Kryukov_Zyb1909,7,undirected
56,Sholokhov_Celina,Sholokhov_Don1-2,4,undirected
57,Sholokhov_Celina,Sholokhov_Don3-4,25,undirected
58,Sholokhov_Celina,Sholokhov_Sudba,15,undirected
59,Sholokhov_Don1-2,Kryukov_NaTihomDonu1898,2,undirected
60,Sholokhov_Don1-2,Kryukov_RechkeLazor1911,4,undirected
61,Sholokhov_Don1-2,Kryukov_Vglubine1913,4,undirected
62,Sholokhov_Don1-2,Kryukov_Zyb1909,1,undirected
63,Sholokhov_Don1-2,Sholokhov_Celina,4,undirected
64,Sholokhov_Don1-2,Sholokhov_Don3-4,30,undirected
65,Sholokhov_Don3-4,Kryukov_NaTihomDonu1898,2,undirected
66,Sholokhov_Don3-4,Kryukov_Zyb1909,6,undirected
67,Sholokhov_Don3-4,Sholokhov_Celina,25,undirected
68,Sholokhov_Don3-4,Sholokhov_Don1-2,30,undirected
69,Sholokhov_Don3-4,Sholokhov_Sudba,2,undirected
70,Sholokhov_Sudba,Kryukov_RechkeLazor1911,1,undirected
71,Sholokhov_Sudba,Kryukov_Vglubine1913,4,undirected
72,Sholokhov_Sudba,Kryukov_Zyb1909,8,undirected
73,Sholokhov_Sudba,Sholokhov_Celina,15,undirected
74,Sholokhov_Sudba,Sholokhov_Don3-4,2,undirected
