"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"и" 3.86725364036573 3.98895063961327 4.02253409764776 5.18165574746873 4.8193203430581 5.28846153846154 4.54462907472986 3.49939715456957 2.83245924727001 3.41032946038185 4.54008898574412
"в" 3.71147985099898 2.75905159656681 2.53014429729196 2.85884455032758 2.61599741629885 1.99175824175824 2.36992645055843 2.28454304316373 2.62856422167803 2.33765796550113 2.73313356941796
"на" 2.52624449712157 1.95994606859811 1.90749159913026 1.60810005955926 1.55380916496214 1.51098901098901 1.53455007718151 1.93875090426815 2.17032591673936 2.11714801520004 2.30636520475801
"не" 1.53741957331527 1.59163405570719 1.68017394742044 1.42942227516379 1.6937596440234 2.26648351648352 1.92953781894125 2.13986013986014 1.32636867163442 1.88443426993953 2.03395986561337
"с" 0.907551642397562 1.450228550758 1.35402253409765 1.25074449076831 1.33132378799297 1.03021978021978 1.23944429310814 1.26693995659513 1.32741967692097 1.38492031763533 1.20766367020794
"а" 1.22587199458178 1.10822453878786 1.27495552480727 0.774270399047052 1.27031973301755 0.549450549450549 1.02152002179243 1.69086086327466 0.847635763607891 1.13116554658273 1.80695541632616
"что" 0.778868946833728 0.637969022328916 0.553469065032615 0.416914830256105 0.617217497398357 1.16758241758242 0.753654771633524 1.00506390161563 0.745162748168623 0.813446057122177 1.27122491600835
"он" 0.453775821198781 0.762932026702621 0.859853726032813 0.595592614651578 0.534682599490437 0.206043956043956 1.19858349223645 0.888835302628406 0.714158092215204 0.838695288072684 0.82629619540543
"как" 0.419911953945141 0.555756519451478 0.672069578968176 0.774270399047052 0.764344924103779 0.755494505494505 0.794515572505221 0.959247648902821 0.647944759162139 0.812604416090493 1.13502224643603
"к" 0.433457500846597 0.611661021408136 0.454635303419648 0.476474091721263 0.484443965981268 0.824175824175824 0.572051212203759 0.654448999276586 0.765131848613198 0.780622056886517 0.626532280032689
"я" 0.162546562817474 0.687296524055378 1.02787112077486 0.536033353186421 0.355258908386263 0.274725274725275 0.404067919731227 1.00458162527128 0.472952378950466 0.593777747852763 2.03395986561337
"то" 0.419911953945141 0.611661021408136 0.563352441193912 0.655151876116736 0.80740660996878 0.480769230769231 0.799055661490965 0.764408005787316 0.634281690436903 0.651009338007246 0.708253881776083
"по" 1.18523535387741 0.644546022559111 0.583119193516505 0.357355568790947 0.52750565184627 0.412087912087912 0.572051212203759 0.65396672293224 0.689984970624402 0.651430158523088 0.635612458004177
"ты" 0.0406366407043684 0.200598507020948 0.415101798774461 0.238237045860631 0.193777586392507 0.0686813186813187 0.358667029873786 0.91825415963347 0.454559786435726 0.570211798965623 0.4630890765459
"за" 0.650186251269895 0.552468019336381 0.662186202806879 0.536033353186421 0.523917178024186 0.412087912087912 0.635612458004177 0.602363154087292 0.5859354472553 0.570632619481465 0.608371924089712
"его" 0.413139180494412 0.480121016804236 0.612769322000395 0.297796307325789 0.423439911005849 0.137362637362637 0.612912013075456 0.598022666988184 0.574899891746456 0.590411183726029 0.408608008716971
"из" 0.684050118523535 0.565622019796771 0.395335046451868 0.416914830256105 0.430616858650016 0.549450549450549 0.376827385816762 0.508801543284302 0.546522749009428 0.568949337418098 0.572051212203759
"у" 0.419911953945141 0.693873524285573 0.365684917967978 0.536033353186421 0.473678544515018 0.343406593406593 0.499409788431853 0.611526404629853 0.504482537547164 0.491939183019051 0.635612458004177
"от" 0.270910938029123 0.338715511855043 0.266851156355011 0.238237045860631 0.391143646607098 0.137362637362637 0.431308453645691 0.450446105618519 0.466646347231127 0.462060926394284 0.454008898574412
"но" 0.460548594649509 0.28938801012858 0.553469065032615 0.416914830256105 0.581332759177522 0.961538461538462 0.662852991918642 0.483240897034 0.257496295206365 0.400621131081382 0.553890856260783
"же" 0.372502539790044 0.35515801243053 0.395335046451868 0.297796307325789 0.330139591631679 0.137362637362637 0.258785072187415 0.536291294911985 0.279041903580775 0.406091797787326 0.4630890765459
"это" 0.17609210971893 0.332138511624848 0.296501284838901 0.238237045860631 0.419851437183766 0.343406593406593 0.394987741759738 0.5141065830721 0.239103702691625 0.382946669416027 0.36320711885953
"все" 0.216728750423298 0.460390016113651 0.424985174935758 0.774270399047052 0.570567337711271 0.274725274725275 0.422228275674203 0.394502049674463 0.204946030878535 0.418716413262579 0.544810678289295
"так" 0.284456484930579 0.335427011739945 0.227317651709824 0.178677784395473 0.265547062834177 0.480769230769231 0.36320711885953 0.443694236797685 0.262751321639148 0.352647592275419 0.635612458004177
"григорий" 0 0.00657700023019501 0 0 0 0 0.00908017797148824 0.00144682903303593 0.44720274942983 0.590411183726029 0
"вот" 0.0541821876058246 0.286099510013483 0.375568294129275 0.476474091721263 0.322962643987512 0.274725274725275 0.413148097702715 0.367976850735471 0.207573544094927 0.233555386292193 0.399527830745483
"да" 0.094818828310193 0.351869512315433 0.326151413322791 0.178677784395473 0.448559227760433 0.206043956043956 0.245164805230183 0.351579455027731 0.18182391457429 0.264275283948643 0.272405339144647
"она" 0.0812732814087369 0.164425005754875 0.0790670092903736 0.416914830256105 0.139950479061255 0.206043956043956 0.258785072187415 0.265734265734266 0.222813120749997 0.303411591921929 0.163443203486788
"под" 0.243819844226211 0.1315400046039 0.168017394742044 0.178677784395473 0.129185057595005 0.0686813186813187 0.136202669572324 0.224258500120569 0.315301585966977 0.263012822401118 0.227004449287206
